2025-12-09 08:00:00.031 [scheduling-1] INFO  c.s.i.f.m.s.FundMonitorScheduler - ========== 开始执行基金监控定时任务 ==========
2025-12-09 08:00:01.168 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=002170, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.417 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=002170, count=21
2025-12-09 08:00:01.426 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('002170', '东吴移动互联网灵活配置混合C', 2025-11-10, 5.6091, -1.66, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-11, 5.4749, -2.45, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-12, 5.5022, 0.50, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-13, 5.5190, 0.31, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-14, 5.3294, -3.44, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-17, 5.3318, 0.05, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-18, 5.3122, -0.37, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-19, 5.3091, -0.06, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-20, 5.3100, 0.02, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-21, 5.0869, -4.20, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-24, 5.0581, -0.57, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2025-11-25, 5.2198, 3.20, NOW(), NOW()) , ('002170', '东吴移动互联网灵活配置混合C', 2...
2025-12-09 08:00:01.427 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=002170, count=41
2025-12-09 08:00:01.427 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 002170 - 东吴移动互联网灵活配置混合C, 更新记录数: 41
2025-12-09 08:00:01.427 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 002170 - 东吴移动互联网灵活配置混合C
2025-12-09 08:00:01.427 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 002170
2025-12-09 08:00:01.429 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002170' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:01.431 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 002170 - 东吴移动互联网灵活配置混合C
2025-12-09 08:00:01.431 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 023918 - 华夏国证自由现金流ETF连接C
2025-12-09 08:00:01.431 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=023918, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.433 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '023918' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:01.433 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=023918, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.723 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=023918, count=21
2025-12-09 08:00:01.737 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 6 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('023918', '华夏国证自由现金流ETF连接C', 2025-11-10, 1.2353, 1.04, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-11, 1.2294, -0.48, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-12, 1.2320, 0.21, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-13, 1.2423, 0.84, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-14, 1.2306, -0.94, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-17, 1.2197, -0.89, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-18, 1.1986, -1.73, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-19, 1.2040, 0.45, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-20, 1.1953, -0.72, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-21, 1.1673, -2.34, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-24, 1.1651, -0.19, NOW(), NOW()) , ('023918', '华夏国证自由现金流ETF连接C', 2025-11-25, 1.1744, 0.80, NOW(), NOW()) , ('023918', '华夏国证自由...
2025-12-09 08:00:01.738 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=023918, count=41
2025-12-09 08:00:01.738 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 023918 - 华夏国证自由现金流ETF连接C, 更新记录数: 41
2025-12-09 08:00:01.738 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 023918 - 华夏国证自由现金流ETF连接C
2025-12-09 08:00:01.738 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 023918
2025-12-09 08:00:01.741 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '023918' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:01.741 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 023918 - 华夏国证自由现金流ETF连接C
2025-12-09 08:00:01.741 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 007721 - 天弘标普500A
2025-12-09 08:00:01.742 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=007721, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.743 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007721' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:01.743 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=007721, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:02.041 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=007721, count=20
2025-12-09 08:00:02.054 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 9 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('007721', '天弘标普500A', 2025-11-10, 2.1076, 1.47, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-11, 2.1129, 0.25, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-12, 2.1140, 0.05, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-13, 2.0842, -1.43, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-14, 2.0820, -0.11, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-17, 2.0647, -0.83, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-18, 2.0485, -0.79, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-19, 2.0552, 0.33, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-20, 2.0320, -1.14, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-21, 2.0439, 0.59, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-24, 2.0721, 1.36, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-25, 2.0881, 0.77, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-26, 2.1024, 0.68, NOW(), NOW()) , ('007721', '天弘标普500A', 2025-11-27, 2.10...
2025-12-09 08:00:02.054 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=007721, count=20
2025-12-09 08:00:02.054 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 007721 - 天弘标普500A, 更新记录数: 20
2025-12-09 08:00:02.054 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 007721 - 天弘标普500A
2025-12-09 08:00:02.054 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 007721
2025-12-09 08:00:02.056 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007721' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:02.056 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 007721 - 天弘标普500A
2025-12-09 08:00:02.056 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 017428 - 易方达成长混合动力C
2025-12-09 08:00:02.056 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=017428, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:02.057 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '017428' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:02.057 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=017428, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:02.340 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=017428, count=21
2025-12-09 08:00:02.357 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 11 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('017428', '易方达成长混合动力C', 2025-11-10, 1.0263, 0.03, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-11, 1.0265, 0.02, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-12, 1.0269, 0.04, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-13, 1.0266, -0.03, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-14, 1.0266, 0.00, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-17, 1.0269, 0.03, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-18, 1.0269, 0.00, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-19, 1.0267, -0.02, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-20, 1.0267, 0.00, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-21, 1.0267, 0.00, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-24, 1.0268, 0.01, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-25, 1.0265, -0.03, NOW(), NOW()) , ('017428', '易方达成长混合动力C', 2025-11-26, 1.0259, -0.06, NOW(), NOW()) , ('017428', '易方...
2025-12-09 08:00:02.357 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=017428, count=21
2025-12-09 08:00:02.357 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 017428 - 易方达成长混合动力C, 更新记录数: 21
2025-12-09 08:00:02.357 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 017428 - 易方达成长混合动力C
2025-12-09 08:00:02.358 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 017428
2025-12-09 08:00:02.360 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '017428' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:02.360 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 017428 - 易方达成长混合动力C
2025-12-09 08:00:02.367 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: SELECT * FROM email_recipient WHERE enabled = 1 ORDER BY create_time ASC
2025-12-09 08:00:03.873 [scheduling-1] INFO  c.s.i.n.s.EmailNotificationService - HTML邮件发送成功，收件人数量: 1, 主题: 【基金预警汇总】多基金预警通知
2025-12-09 08:00:03.874 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 全局基金预警汇总HTML邮件已发送，共 1 个预警
2025-12-09 08:00:03.892 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 9 ms, SQL: INSERT INTO alarm_record (fund_code, fund_name, rule_code, rule_description, consecutive_days, cumulative_return, daily_return, nav_date, unit_nav, alarm_content) VALUES ('002170', '东吴移动互联网灵活配置混合C', 'D', '连续3天累计涨跌幅绝对值≥3%', 3, 3.0400, NULL, 2025-12-08, 5.7416, '基金名称: 东吴移动互联网灵活配置混合C 基金代码: 002170 预警规则: 连续3天累计涨跌幅绝对值≥3% 连续天数: 3天 累计涨跌幅: 3.04% 最新净值日期: 2025-12-08 最新单位净值: 5.7416 短期累计波动较大，请关注基金走势。')
2025-12-09 08:00:03.892 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - ========== 基金监控定时任务执行完成 ==========
2025-12-09 08:30:00.013 [scheduling-1] INFO  c.s.i.f.m.s.FundDataReportTask - 开始执行基金数据报告任务
2025-12-09 08:30:00.020 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: SELECT * FROM fund_monitor WHERE enabled = 1 ORDER BY create_time ASC
2025-12-09 08:30:00.026 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 3 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '010500' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.031 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '016858' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.034 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007950' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.036 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '014198' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.038 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '021526' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.040 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '018561' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.042 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 0 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002834' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.045 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '012920' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.047 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002170' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.050 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '023918' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.053 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007721' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.055 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '017428' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:30:00.057 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM email_recipient WHERE enabled = 1 ORDER BY create_time ASC
2025-12-09 08:30:01.599 [scheduling-1] INFO  c.s.i.n.s.EmailNotificationService - HTML邮件发送成功，收件人数量: 1, 主题: 【基金数据日报】2025年12月09日
2025-12-09 08:30:01.603 [scheduling-1] INFO  c.s.i.f.m.s.FundDataReportTask - 基金数据报告发送完成，共处理 12 个基金
2025-12-09 08:57:14.354 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 68848 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 08:57:14.356 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 08:57:16.031 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-09 08:57:16.038 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-09 08:57:16.040 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-09 08:57:16.040 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-09 08:57:16.213 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-09 08:57:16.213 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1817 ms
2025-12-09 08:57:16.290 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-12-09 08:57:16.558 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-09 08:57:16.578 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-12-09 09:07:40.566 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 50476 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 09:07:40.568 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 09:07:42.196 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-09 09:07:42.202 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-09 09:07:42.204 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-09 09:07:42.204 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-09 09:07:42.356 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-09 09:07:42.357 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1751 ms
2025-12-09 09:07:42.422 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-12-09 09:07:42.671 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-09 09:07:42.691 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-12-09 09:28:49.605 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 72360 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 09:28:49.607 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 09:28:51.204 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-09 09:28:51.211 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-09 09:28:51.213 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-09 09:28:51.213 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-09 09:28:51.338 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-09 09:28:51.338 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1690 ms
2025-12-09 09:28:51.841 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始初始化数据库...
2025-12-09 09:28:51.841 [main] INFO  c.s.i.s.service.DatabaseInitializer - 检查数据库 fund 是否存在...
2025-12-09 09:28:52.717 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始执行SQL脚本: schema.sql
2025-12-09 09:33:44.919 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 76380 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 09:33:44.922 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 09:33:46.493 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-09 09:33:46.499 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-09 09:33:46.501 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-09 09:33:46.501 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-09 09:33:46.623 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-09 09:33:46.623 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1660 ms
2025-12-09 09:33:47.114 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始初始化数据库...
2025-12-09 09:33:47.115 [main] INFO  c.s.i.s.service.DatabaseInitializer - 检查数据库 fund 是否存在...
2025-12-09 09:33:47.948 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始执行SQL脚本: schema.sql
2025-12-09 09:38:33.194 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 75044 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 09:38:33.196 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 09:38:34.807 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-09 09:38:34.814 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-09 09:38:34.816 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-09 09:38:34.816 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-09 09:38:34.969 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-09 09:38:34.969 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1738 ms
2025-12-09 09:38:35.211 [main] INFO  o.s.b.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2025-12-09 09:38:35.507 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始初始化数据库...
2025-12-09 09:38:35.508 [main] INFO  c.s.i.s.service.DatabaseInitializer - 检查数据库 fund 是否存在...
2025-12-09 09:38:36.387 [main] INFO  c.s.i.s.service.DatabaseInitializer - 数据库 fund 已存在
2025-12-09 09:38:36.388 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始执行SQL脚本: schema.sql
2025-12-09 09:39:40.159 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 65932 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 09:39:40.161 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 09:40:07.978 [main] INFO  com.sunlight.invest.FundApplication - Starting FundApplication using Java 1.8.0_152 on sunlight with PID 64732 (D:\javaAI\monitor\target\classes started by Administrator in D:\javaAI\monitor)
2025-12-09 09:40:07.980 [main] INFO  com.sunlight.invest.FundApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-09 09:40:09.714 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-09 09:40:09.721 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-09 09:40:09.723 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-09 09:40:09.723 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-12-09 09:40:09.883 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-09 09:40:09.883 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1852 ms
2025-12-09 09:40:09.964 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-12-09 09:40:10.609 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-12-09 09:40:11.030 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始初始化数据库...
2025-12-09 09:40:11.030 [main] INFO  c.s.i.s.service.DatabaseInitializer - 检查数据库 fund 是否存在...
2025-12-09 09:40:11.812 [main] INFO  c.s.i.s.service.DatabaseInitializer - 数据库 fund 已存在
2025-12-09 09:40:11.813 [main] INFO  c.s.i.s.service.DatabaseInitializer - 开始执行SQL脚本: schema.sql
2025-12-09 09:40:11.825 [main] INFO  c.s.i.s.service.DatabaseInitializer - 表 fund_nav 已存在，跳过创建
2025-12-09 09:40:11.826 [main] INFO  c.s.i.s.service.DatabaseInitializer - 表 fund_monitor 已存在，跳过创建
2025-12-09 09:40:11.828 [main] INFO  c.s.i.s.service.DatabaseInitializer - 表 index_data 已存在，跳过创建
